#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T15:26:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T15:26:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/Nat/598.267/tables1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1038059801
#Name: J/other/Nat/598.267
#Title: List of radio bursts (Li+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	creator=Li D.	    First author or institution
#INFO	cites=bibcode:2021Natur.598..267L	    Article or Data origin sources
#INFO	journal=Natu	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/Nat/598.267	    Dataset landing page
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_Nat_598_267_tables1:
#Name: J/other/Nat/598.267/tables1
#Title: All relevant data for the 1652 detected burst events
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Burst	(I4)	Burst ID	[ucd=meta.id;meta.main]
#Column	MJD	(F15.9)	Burst time (MJD) (1)	[ucd=time.epoch]
#Column	DM	(F5.1)	Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	e_DM	(F4.1)	Dispersion measure error	[ucd=stat.error]
#Column	Width	(F5.2)	Pulse width error	[ucd=src.var.pulse]
#Column	e_Width	(F5.2)	Pulse width	[ucd=stat.error;spect.line.width]
#Column	Bandwidth	(F6.3)	Bandwidth (2)	[ucd=em.freq]
#Column	Fp	(F8.3)	Peak flux	[ucd=phot.flux]
#Column	e_Fp	(F4.1)	Peak flux error	[ucd=stat.error]
#Column	Fluence	(F7.4)	Fluence	[ucd=phot.fluence;em.gamma.hard]
#Column	e_Fluence	(F7.4)	Fluence error	[ucd=stat.error;phot.fluence]
#Column	E	(D10.3)	Energy	[ucd=phys.energy]
#Column	e_E	(E10.3)	Energy error	[ucd=stat.error]
recno	Burst	MJD	DM	e_DM	Width	e_Width	Bandwidth	Fp	e_Fp	Fluence	e_Fluence	E	e_E
     402	 402	58728.059427793	566.0	 0.5	 5.28	 0.08	 0.050	 102.196	 1.2	 0.5392	 0.0007	 5.772e+38	 7.000e+35
     403	 403	58728.067769481	566.0	 0.5	 2.08	 0.03	 0.040	  27.758	 0.4	 0.0577	 0.0001	 6.177e+37	 9.000e+34
     404	 404	58728.067769482	565.3	 0.3	 1.78	 0.02	 0.200	 131.450	 9.9	 0.2340	 0.0001	 2.505e+38	 1.000e+35
     405	 405	58728.069110920	566.0	 0.5	 3.03	 0.04	 0.400	  10.948	 0.1	 0.0332	 0.0000	 3.551e+37	 3.000e+34
     406	 406	58728.075077032	563.9	 0.3	 2.83	 0.00	 0.200	 813.620	 8.3	 2.3025	 0.0000	 2.465e+39	 0.000e+00
     407	 407	58728.075077042	566.0	 0.5	 2.88	 0.04	 0.390	 193.721	 2.0	 0.5582	 0.0007	 5.975e+38	 7.000e+35
     408	 408	58728.076347404	566.4	 0.5	 3.23	 0.02	 0.400	 123.680	 7.5	 0.3995	 0.0002	 4.276e+38	 1.000e+35
     409	 409	58728.077734777	567.0	 0.8	 3.53	 0.03	 0.200	  96.540	 6.8	 0.3408	 0.0002	 3.648e+38	 2.000e+35
     410	 410	58728.958907809	566.0	 0.5	 3.46	 0.05	 0.260	   6.847	 0.1	 0.0237	 0.0000	 2.538e+37	 2.000e+34
     411	 411	58728.965670285	566.5	 0.5	 3.33	 0.02	 0.150	 115.020	 5.7	 0.3830	 0.0001	 4.100e+38	 1.000e+35
     412	 412	58728.968898361	569.4	 0.8	 5.32	 0.02	 0.200	 112.070	 4.3	 0.5962	 0.0001	 6.382e+38	 1.000e+35
     413	 413	58728.975048150	565.1	 0.6	 2.13	 0.02	 0.050	  93.120	 6.8	 0.1983	 0.0001	 2.123e+38	 1.000e+35
     414	 414	58728.983983731	564.6	 0.3	 2.31	 0.01	 0.300	 333.070	 6.4	 0.7694	 0.0000	 8.236e+38	 0.000e+00
     415	 415	58728.984960173	564.3	 0.3	 2.69	 0.02	 0.050	  82.370	 5.9	 0.2216	 0.0001	 2.372e+38	 1.000e+35
     416	 416	58728.988427881	567.2	 0.6	 6.04	 0.03	 0.150	  87.380	 4.1	 0.5278	 0.0001	 5.650e+38	 1.000e+35
     417	 417	58728.993927624	566.0	 0.3	 3.24	 0.01	 0.200	 187.030	 5.3	 0.6060	 0.0001	 6.487e+38	 0.000e+00
     418	 418	58729.002729388	562.5	 0.4	 1.74	 0.02	 0.050	  81.420	 7.6	 0.1417	 0.0001	 1.517e+38	 1.000e+35
     419	 419	58729.003209837	567.2	 0.4	 4.04	 0.05	 0.050	  48.920	 5.0	 0.1976	 0.0002	 2.116e+38	 2.000e+35
     420	 420	58729.004947697	568.3	 0.7	 4.41	 0.04	 0.400	  64.700	 4.7	 0.2853	 0.0002	 3.054e+38	 1.000e+35
     421	 421	58729.006687544	566.4	 0.2	 2.53	 0.02	 0.150	  75.040	 6.0	 0.1898	 0.0001	 2.032e+38	 1.000e+35
     422	 422	58729.008514024	569.0	 0.8	 6.05	 0.08	 0.050	  36.380	 4.0	 0.2201	 0.0003	 2.356e+38	 3.000e+35
     423	 423	58729.009406471	568.0	 0.5	 5.77	 0.06	 0.150	  47.360	 4.2	 0.2733	 0.0002	 2.925e+38	 2.000e+35
     424	 424	58729.014642331	566.0	 0.5	 4.43	 0.07	 0.150	  35.210	 4.8	 0.1560	 0.0003	 1.670e+38	 3.000e+35
     425	 425	58729.014642592	568.0	 0.7	 4.05	 0.05	 0.150	  51.070	 5.0	 0.2068	 0.0002	 2.214e+38	 2.000e+35
     426	 426	58729.014642996	569.8	 0.8	 6.95	 0.09	 0.150	  29.390	 4.1	 0.2043	 0.0005	 2.187e+38	 5.000e+35
     427	 427	58729.014993412	567.0	 0.6	 5.43	 0.06	 0.400	  44.380	 4.5	 0.2410	 0.0003	 2.580e+38	 3.000e+35
     428	 428	58729.015242789	569.8	 0.5	 7.59	 0.09	 0.160	   7.514	 0.1	 0.0570	 0.0001	 6.104e+37	 6.000e+34
     429	 429	58729.015584209	564.2	 0.4	 2.88	 0.01	 0.400	 323.670	 5.7	 0.9322	 0.0000	 9.979e+38	 0.000e+00
     430	 430	58729.015584262	564.4	 0.4	 3.51	 0.03	 0.400	  87.360	 5.3	 0.3066	 0.0002	 3.282e+38	 1.000e+35
     431	 431	58729.017058848	564.6	 0.4	 2.02	 0.02	 0.050	  86.700	 6.8	 0.1751	 0.0001	 1.875e+38	 1.000e+35
     432	 432	58729.018066356	564.7	 0.5	 2.88	 0.00	 0.400	  10.100	 2.9	 0.0291	 0.0007	 3.114e+37	 1.900e+35
     433	 433	58729.018066385	565.6	 0.5	 4.27	 0.03	 0.400	 647.470	38.9	 2.7647	 0.0011	 2.960e+39	 1.000e+36
     434	 434	58729.018066511	563.8	 0.5	 4.89	 0.01	 0.400	 381.400	 6.0	 1.8651	 0.0001	 1.997e+39	 0.000e+00
     435	 435	58729.018066596	563.8	 0.5	 4.71	 0.02	 0.400	 218.790	 6.1	 1.0305	 0.0001	 1.103e+39	 0.000e+00
     436	 436	58729.018204959	565.3	 0.4	 4.50	 0.50	 0.400	  50.700	 4.8	 0.2281	 0.0002	 2.442e+38	 2.000e+35
     437	 437	58729.018378564	564.9	 0.2	 3.00	 0.00	 0.250	 754.670	 5.8	 2.2640	 0.0000	 2.424e+39	 0.000e+00
     438	 438	58729.018476194	563.1	 0.2	 2.20	 0.10	 0.200	 161.560	 6.9	 0.3554	 0.0001	 3.805e+38	 0.000e+00
     439	 439	58729.018646540	562.9	 0.6	 9.87	 0.07	 0.100	  51.120	 3.2	 0.5046	 0.0002	 5.401e+38	 2.000e+35
     440	 440	58729.019532739	563.6	 0.4	 2.02	 0.01	 0.400	 277.290	 7.3	 0.5601	 0.0000	 5.996e+38	 0.000e+00
     441	 441	58729.023094566	569.0	 0.5	 6.54	 0.09	 0.205	   8.057	 0.1	 0.0527	 0.0001	 5.643e+37	 6.000e+34
     442	 442	58729.023161806	565.0	 0.5	 5.43	 0.08	 0.180	   4.420	 0.0	 0.0240	 0.0000	 2.571e+37	 2.000e+34
     443	 443	58729.023957615	565.4	 0.4	 3.15	 0.03	 0.100	  74.670	 5.9	 0.2352	 0.0002	 2.518e+38	 1.000e+35
     444	 444	58729.024756254	569.6	 0.7	 6.85	 0.07	 0.100	  43.510	 3.9	 0.2980	 0.0003	 3.191e+38	 3.000e+35
     445	 445	58729.027076819	565.1	 0.6	 5.27	 0.06	 0.150	  47.040	 4.4	 0.2479	 0.0003	 2.654e+38	 2.000e+35
     446	 446	58729.030253301	566.3	 0.3	 2.31	 0.02	 0.200	  96.780	 6.5	 0.2236	 0.0001	 2.393e+38	 1.000e+35
     447	 447	58729.030253357	566.8	 0.3	 4.28	 0.01	 0.300	 208.790	 4.9	 0.8936	 0.0001	 9.566e+38	 0.000e+00
     448	 448	58729.031064914	566.7	 0.4	 5.46	 0.04	 0.200	  76.280	 4.3	 0.4165	 0.0002	 4.458e+38	 1.000e+35
     449	 449	58729.034311978	563.3	 0.2	 1.92	 0.02	 0.050	  97.100	 7.5	 0.1864	 0.0001	 1.996e+38	 1.000e+35
     450	 450	58729.037216964	566.1	 0.4	 1.80	 0.40	 0.300	  88.940	 6.5	 0.1601	 0.0014	 1.714e+38	 1.400e+36
     451	 451	58729.037216988	566.2	 0.4	 3.09	 0.06	 0.300	 128.210	10.7	 0.3962	 0.0006	 4.241e+38	 6.000e+35
     452	 452	58729.037340178	568.1	 0.5	 7.48	 0.09	 0.100	   3.334	 0.0	 0.0249	 0.0000	 2.668e+37	 3.000e+34
     453	 453	58729.042565897	566.0	 0.5	 3.09	 0.05	 0.055	   7.268	 0.1	 0.0225	 0.0000	 2.405e+37	 2.000e+34
     454	 454	58729.043570390	562.5	 0.2	 5.51	 0.05	 0.400	 180.850	13.5	 0.9965	 0.0018	 1.067e+39	 1.000e+36
     455	 455	58729.043570453	562.5	 0.2	10.49	 0.09	 0.400	  97.970	12.7	 1.0277	 0.0023	 1.100e+39	 2.000e+36
     456	 456	58729.045838277	566.6	 0.6	 6.79	 0.06	 0.150	  58.740	 4.4	 0.3988	 0.0003	 4.270e+38	 2.000e+35
     457	 457	58729.047381468	563.5	 0.4	 2.21	 0.02	 0.200	 118.530	 7.9	 0.2620	 0.0001	 2.804e+38	 1.000e+35
     458	 458	58729.049558315	566.7	 0.4	 4.48	 0.03	 0.150	 112.000	 5.5	 0.5018	 0.0001	 5.371e+38	 1.000e+35
     459	 459	58729.051243539	563.8	 0.2	 3.44	 0.02	 0.300	 152.300	 6.5	 0.5239	 0.0001	 5.608e+38	 1.000e+35
     460	 460	58729.052212093	564.0	 0.2	 3.74	 0.03	 0.300	 158.390	 6.5	 0.5924	 0.0002	 6.341e+38	 1.000e+35
     461	 461	58729.052212138	564.1	 0.2	 2.27	 0.01	 0.300	 411.490	 8.2	 0.9341	 0.0001	 9.999e+38	 0.000e+00
     462	 462	58729.055188277	568.4	 0.7	 5.63	 0.08	 0.200	  42.260	 5.1	 0.2379	 0.0004	 2.547e+38	 4.000e+35
     463	 463	58729.056098235	561.5	 0.5	 5.62	 0.08	 0.190	   6.275	 0.1	 0.0352	 0.0000	 3.772e+37	 5.000e+34
     464	 464	58729.063070333	564.6	 0.2	 3.18	 0.00	 0.400	1015.450	 7.1	 3.2291	 0.0000	 3.457e+39	 0.000e+00
     465	 465	58729.063625838	569.4	 0.8	 8.41	 0.06	 0.150	  67.670	 4.4	 0.5691	 0.0003	 6.092e+38	 3.000e+35
     466	 466	58729.065374501	569.8	 0.5	 7.13	 0.09	 0.230	  13.597	 0.2	 0.0970	 0.0001	 1.038e+38	 1.000e+35
     467	 467	58729.065374568	568.7	 0.6	 6.17	 0.09	 0.200	  33.540	 5.0	 0.2069	 0.0005	 2.215e+38	 5.000e+35
     468	 468	58729.069051964	568.1	 0.5	 5.64	 0.08	 0.175	   5.199	 0.1	 0.0293	 0.0000	 3.139e+37	 3.000e+34
     469	 469	58729.069168945	569.5	 1.0	 4.12	 0.02	 0.150	 183.880	 6.6	 0.7576	 0.0001	 8.110e+38	 1.000e+35
     470	 470	58729.072278756	563.4	 0.2	 2.88	 0.02	 0.250	 116.190	 7.7	 0.3346	 0.0002	 3.582e+38	 1.000e+35
     471	 471	58729.073079694	564.9	 0.3	 2.10	 0.00	 0.300	 583.180	 9.3	 1.2247	 0.0000	 1.311e+39	 0.000e+00
     472	 472	58729.076089350	566.4	 0.5	 3.11	 0.03	 0.300	  83.600	 7.6	 0.2600	 0.0003	 2.783e+38	 2.000e+35
     473	 473	58729.078359904	566.0	 0.5	 3.08	 0.04	 0.150	  12.738	 0.1	 0.0392	 0.0001	 4.198e+37	 5.000e+34
     474	 474	58729.080879470	568.5	 0.5	 4.31	 0.06	 0.190	  12.439	 0.1	 0.0536	 0.0001	 5.740e+37	 7.000e+34
     475	 475	58730.871337073	568.1	 0.5	 7.98	 0.09	 0.100	   9.091	 0.1	 0.0725	 0.0001	 7.764e+37	 1.300e+35
     476	 476	58730.873486930	567.0	 0.5	 6.88	 0.08	 0.150	  57.110	 5.7	 0.3929	 0.0005	 4.206e+38	 4.000e+35
     477	 477	58730.878462279	567.6	 0.5	 3.19	 0.05	 0.090	  10.180	 0.1	 0.0325	 0.0000	 3.476e+37	 5.000e+34
     478	 478	58730.880265341	569.5	 0.8	 8.43	 0.09	 0.050	  38.700	 4.9	 0.3262	 0.0006	 3.492e+38	 6.000e+35
     479	 479	58730.880983008	568.1	 0.5	 1.79	 0.03	 0.200	   7.233	 0.1	 0.0129	 0.0000	 1.383e+37	 1.000e+34
     480	 480	58730.881875450	566.0	 0.5	 3.84	 0.06	 0.105	   5.511	 0.1	 0.0212	 0.0000	 2.265e+37	 3.000e+34
     481	 481	58730.885466103	565.9	 0.5	 6.75	 0.09	 0.110	   7.485	 0.1	 0.0505	 0.0001	 5.405e+37	 7.000e+34
     482	 482	58730.886768291	563.4	 0.5	 1.30	 0.10	 0.400	 280.700	17.5	 0.3649	 0.0002	 3.906e+38	 1.000e+35
     483	 483	58730.886768315	563.9	 0.4	 4.49	 0.01	 0.400	 602.340	 7.7	 2.7045	 0.0001	 2.895e+39	 0.000e+00
     484	 484	58730.886768625	566.0	 0.4	 3.81	 0.01	 0.400	 306.640	 6.9	 1.1683	 0.0001	 1.251e+39	 0.000e+00
     485	 485	58730.890202679	569.8	 0.5	 7.00	 0.90	 0.240	   8.688	 0.1	 0.0608	 0.0001	 6.510e+37	 8.000e+34
     486	 486	58730.890244815	566.1	 0.7	 4.49	 0.04	 0.200	  80.560	 6.3	 0.3617	 0.0003	 3.872e+38	 2.000e+35
     487	 487	58730.890299696	564.5	 0.3	 1.98	 0.01	 0.100	 404.500	 9.3	 0.8009	 0.0000	 8.574e+38	 0.000e+00
     488	 488	58730.890619232	564.5	 0.3	 1.51	 0.02	 0.100	 126.090	10.5	 0.1904	 0.0002	 2.038e+38	 1.000e+35
     489	 489	58730.890935087	568.9	 0.8	10.11	 0.09	 0.200	  49.340	 4.3	 0.4988	 0.0005	 5.340e+38	 4.000e+35
     490	 490	58730.891717875	565.7	 0.4	 5.09	 0.05	 0.100	  74.080	 5.8	 0.3771	 0.0003	 4.036e+38	 2.000e+35
     491	 491	58730.891996590	570.0	 1.0	12.28	 0.09	 0.220	  63.840	 3.8	 0.7840	 0.0003	 8.392e+38	 3.000e+35
     492	 492	58730.892710817	565.3	 1.1	12.41	 0.09	 0.100	  32.130	 3.7	 0.3987	 0.0006	 4.268e+38	 6.000e+35
     493	 493	58730.893067453	568.6	 0.6	 7.02	 0.09	 0.200	  37.480	 5.3	 0.2631	 0.0006	 2.817e+38	 6.000e+35
     494	 494	58730.894069353	565.0	 0.5	 7.51	 0.09	 0.195	   6.339	 0.1	 0.0476	 0.0001	 5.096e+37	 5.000e+34
     495	 495	58730.894543674	566.9	 0.3	 3.56	 0.03	 0.250	 100.850	 6.8	 0.3590	 0.0002	 3.843e+38	 2.000e+35
     496	 496	58730.894836598	566.3	 0.6	 7.81	 0.09	 0.250	  44.670	 4.6	 0.3489	 0.0004	 3.735e+38	 4.000e+35
     497	 497	58730.894836760	566.3	 0.6	 3.56	 0.03	 0.300	  93.330	 6.7	 0.3322	 0.0002	 3.557e+38	 2.000e+35
     498	 498	58730.899666023	567.7	 0.6	 9.28	 0.08	 0.400	  60.760	 4.1	 0.5638	 0.0003	 6.036e+38	 3.000e+35
     499	 499	58730.900487247	566.2	 0.3	 4.05	 0.03	 0.250	 105.840	 6.3	 0.4286	 0.0002	 4.589e+38	 1.000e+35
     500	 500	58730.902144470	567.0	 0.5	 4.89	 0.04	 0.400	  79.470	 5.4	 0.3886	 0.0002	 4.160e+38	 2.000e+35
     501	 501	58730.903022743	567.7	 0.6	 3.89	 0.03	 0.150	 112.650	 6.2	 0.4382	 0.0002	 4.691e+38	 1.000e+35
     502	 502	58730.903393843	566.1	 0.4	 3.20	 0.20	 0.150	 130.080	 7.0	 0.4163	 0.0001	 4.456e+38	 1.000e+35
     503	 503	58730.905022969	568.1	 0.5	 4.20	 0.60	 0.070	  10.029	 0.1	 0.0421	 0.0001	 4.505e+37	 6.000e+34
     504	 504	58730.905046851	566.0	 0.5	 2.98	 0.04	 0.105	  10.013	 0.1	 0.0298	 0.0000	 3.193e+37	 4.000e+34
     505	 505	58730.906044512	562.4	 0.5	 3.08	 0.04	 0.130	  12.501	 0.1	 0.0385	 0.0001	 4.117e+37	 5.000e+34
     506	 506	58730.906965636	564.4	 0.2	 3.51	 0.00	 0.300	1654.830	 7.7	 5.8084	 0.0000	 6.218e+39	 0.000e+00
     507	 507	58730.907008500	563.6	 0.3	 1.93	 0.00	 0.400	 539.550	 9.3	 1.0413	 0.0000	 1.115e+39	 0.000e+00
     508	 508	58730.907545592	563.6	 0.5	 2.71	 0.01	 0.200	 446.930	 8.4	 1.2112	 0.0001	 1.297e+39	 0.000e+00
     509	 509	58730.907844147	566.9	 0.4	 7.29	 0.09	 0.200	  45.060	 4.5	 0.3285	 0.0004	 3.516e+38	 4.000e+35
     510	 510	58730.908489266	565.3	 0.3	 3.24	 0.01	 0.300	 221.410	 7.0	 0.7174	 0.0001	 7.679e+38	 0.000e+00
     511	 511	58732.868655452	561.9	 0.5	 5.35	 0.08	 0.180	   6.087	 0.1	 0.0325	 0.0001	 3.483e+37	 5.000e+34
     512	 512	58732.868758525	562.8	 0.5	 5.94	 0.09	 0.090	   6.961	 0.1	 0.0414	 0.0001	 4.430e+37	 7.000e+34
     513	 513	58732.868916895	566.0	 0.5	 3.76	 0.05	 0.170	  10.114	 0.1	 0.0381	 0.0001	 4.073e+37	 6.000e+34
     514	 514	58732.869847142	566.0	 0.5	 4.69	 0.07	 0.210	  17.479	 0.2	 0.0820	 0.0001	 8.778e+37	 1.300e+35
     515	 515	58732.870169445	566.0	 0.5	 6.74	 0.09	 0.260	  25.356	 0.3	 0.1708	 0.0003	 1.829e+38	 2.000e+35
     516	 516	58732.870480021	566.0	 0.5	 3.54	 0.05	 0.170	  17.748	 0.2	 0.0627	 0.0001	 6.717e+37	 1.000e+35
     517	 517	58732.870850606	566.0	 0.5	 2.10	 0.30	 0.100	  17.771	 0.2	 0.0373	 0.0001	 3.995e+37	 6.000e+34
     518	 518	58732.871316874	566.3	 0.5	 3.49	 0.05	 0.105	  14.689	 0.2	 0.0513	 0.0001	 5.489e+37	 8.000e+34
     519	 519	58732.876086431	566.0	 0.5	 3.13	 0.05	 0.105	  18.600	 0.2	 0.0582	 0.0001	 6.228e+37	 8.000e+34
     520	 520	58732.876708190	565.4	 0.5	 5.54	 0.08	 0.350	  11.127	 0.1	 0.0616	 0.0001	 6.594e+37	 9.000e+34
     521	 521	58732.877561933	566.0	 0.5	 2.97	 0.04	 0.070	  12.889	 0.2	 0.0383	 0.0001	 4.095e+37	 5.000e+34
     522	 522	58732.878372149	563.7	 0.5	 7.20	 0.90	 0.080	   6.083	 0.1	 0.0438	 0.0001	 4.689e+37	 6.000e+34
     523	 523	58732.878786935	569.4	 0.5	 8.56	 0.09	 0.140	   8.975	 0.1	 0.0768	 0.0001	 8.224e+37	 1.100e+35
     524	 524	58732.878953286	566.0	 0.5	 3.63	 0.05	 0.160	  27.168	 0.3	 0.0985	 0.0001	 1.055e+38	 1.000e+35
     525	 525	58732.879987451	566.0	 0.5	 4.48	 0.07	 0.405	  24.246	 0.3	 0.1086	 0.0001	 1.162e+38	 1.000e+35
     526	 526	58732.880153199	566.0	 0.5	 4.69	 0.07	 0.200	  24.041	 0.3	 0.1127	 0.0002	 1.206e+38	 1.000e+35
     527	 527	58732.952323411	565.9	 0.5	 7.53	 0.09	 0.130	   7.779	 0.1	 0.0586	 0.0001	 6.271e+37	 5.000e+34
     528	 528	58732.953026073	565.7	 0.4	 3.18	 0.03	 0.100	  64.350	 5.6	 0.2046	 0.0002	 2.191e+38	 1.000e+35
     529	 529	58732.953170125	566.0	 0.5	 4.87	 0.07	 0.200	  16.394	 0.1	 0.0798	 0.0001	 8.547e+37	 7.000e+34
     530	 530	58732.953423290	565.2	 0.3	 1.65	 0.03	 0.150	  50.090	 7.6	 0.0827	 0.0002	 8.847e+37	 2.300e+35
     531	 531	58732.954034308	561.5	 0.5	 4.30	 0.60	 0.165	  20.255	 0.2	 0.0872	 0.0001	 9.331e+37	 8.000e+34
     532	 532	58732.954245471	566.7	 0.5	 2.96	 0.04	 0.110	   6.917	 0.1	 0.0205	 0.0000	 2.192e+37	 1.000e+34
     533	 533	58732.954344729	564.1	 0.5	 5.71	 0.08	 0.200	   9.535	 0.1	 0.0544	 0.0000	 5.827e+37	 5.000e+34
     534	 534	58732.954595908	567.7	 0.9	 6.27	 0.05	 0.200	  67.240	 4.0	 0.4216	 0.0002	 4.513e+38	 1.000e+35
     535	 535	58732.954869859	566.0	 0.5	 6.40	 0.90	 0.110	  15.626	 0.1	 0.0999	 0.0001	 1.070e+38	 0.000e+00
     536	 536	58732.954927574	566.0	 0.5	 5.28	 0.08	 0.200	  15.808	 0.1	 0.0834	 0.0001	 8.927e+37	 8.000e+34
     537	 537	58732.955664980	565.4	 0.6	 8.00	 0.20	 0.100	 158.470	 3.6	 1.2678	 0.0001	 1.357e+39	 0.000e+00
     538	 538	58732.955665081	566.0	 0.5	 7.72	 0.09	 0.180	  50.363	 0.4	 0.3888	 0.0004	 4.162e+38	 3.000e+35
     539	 539	58732.956126048	564.0	 0.2	 2.66	 0.01	 0.150	 142.200	 5.8	 0.3782	 0.0001	 4.049e+38	 0.000e+00
     540	 540	58732.956126058	566.0	 0.5	 3.77	 0.05	 0.210	  29.656	 0.2	 0.1119	 0.0001	 1.198e+38	 1.000e+35
     541	 541	58732.956223954	566.0	 0.5	 2.36	 0.03	 0.130	  14.752	 0.1	 0.0348	 0.0000	 3.724e+37	 3.000e+34
     542	 542	58732.956414380	564.2	 0.3	 3.51	 0.04	 0.220	  65.140	 5.5	 0.2286	 0.0002	 2.448e+38	 2.000e+35
     543	 543	58732.956414419	561.5	 0.5	12.51	 0.09	 0.190	  12.831	 0.1	 0.1606	 0.0001	 1.719e+38	 1.000e+35
     544	 544	58732.957417040	566.0	 0.5	 2.34	 0.03	 0.160	  11.181	 0.1	 0.0262	 0.0000	 2.806e+37	 2.000e+34
     545	 545	58732.958590896	566.0	 0.5	 3.15	 0.05	 0.300	  17.769	 0.1	 0.0559	 0.0000	 5.984e+37	 5.000e+34
     546	 546	58732.959134328	567.5	 1.0	11.33	 0.08	 0.250	  56.230	 3.2	 0.6371	 0.0003	 6.820e+38	 2.000e+35
     547	 547	58732.959351161	567.2	 0.5	 7.30	 0.90	 0.160	   7.210	 0.1	 0.0526	 0.0000	 5.631e+37	 5.000e+34
     548	 548	58732.959623565	569.8	 0.5	 3.67	 0.05	 0.050	   5.192	 0.0	 0.0190	 0.0000	 2.037e+37	 1.000e+34
     549	 549	58732.959754819	566.0	 0.5	 3.03	 0.04	 0.030	  20.321	 0.2	 0.0616	 0.0001	 6.592e+37	 5.000e+34
     550	 550	58732.960040324	568.4	 0.5	 4.81	 0.03	 0.100	  81.570	 4.5	 0.3923	 0.0001	 4.200e+38	 1.000e+35
     551	 551	58732.960192916	564.1	 0.5	 6.47	 0.09	 0.140	  11.596	 0.1	 0.0750	 0.0001	 8.031e+37	 7.000e+34
     552	 552	58732.960739959	565.4	 0.5	 3.53	 0.05	 0.120	  10.955	 0.1	 0.0387	 0.0000	 4.145e+37	 3.000e+34
     553	 553	58732.962689960	565.4	 0.5	 4.14	 0.06	 0.210	 394.235	 3.0	 1.6337	 0.0014	 1.749e+39	 1.000e+36
     554	 554	58732.962867196	566.0	 0.5	 2.83	 0.04	 0.130	  15.453	 0.1	 0.0437	 0.0000	 4.680e+37	 4.000e+34
     555	 555	58732.962914876	563.7	 0.5	 2.30	 0.30	 0.150	   9.943	 0.1	 0.0229	 0.0000	 2.453e+37	 2.000e+34
     556	 556	58732.962966373	566.2	 0.7	 4.18	 0.05	 0.350	  50.140	 5.2	 0.2096	 0.0003	 2.244e+38	 2.000e+35
     557	 557	58732.963464708	565.9	 0.5	 6.32	 0.09	 0.290	  12.091	 0.1	 0.0764	 0.0001	 8.176e+37	 7.000e+34
     558	 558	58732.963779691	568.5	 0.5	 3.95	 0.06	 0.170	  15.509	 0.1	 0.0612	 0.0001	 6.553e+37	 5.000e+34
     559	 559	58732.963782645	567.2	 0.5	 8.30	 0.90	 0.170	  10.432	 0.1	 0.0866	 0.0001	 9.266e+37	 7.000e+34
     560	 560	58732.964678668	567.6	 0.5	 4.18	 0.06	 0.100	   9.140	 0.1	 0.0382	 0.0000	 4.089e+37	 3.000e+34
     561	 561	58732.964964135	564.5	 0.5	 3.72	 0.05	 0.120	  17.344	 0.1	 0.0645	 0.0001	 6.909e+37	 5.000e+34
     562	 562	58732.965864083	568.8	 0.9	 4.06	 0.04	 0.100	  84.250	 6.5	 0.3421	 0.0002	 3.662e+38	 2.000e+35
     563	 563	58732.965945818	563.7	 0.3	 2.29	 0.03	 0.150	  67.670	 6.8	 0.1550	 0.0002	 1.659e+38	 1.000e+35
     564	 564	58732.966705906	567.2	 0.5	 4.00	 0.60	 0.050	   9.961	 0.1	 0.0398	 0.0000	 4.260e+37	 3.000e+34
     565	 565	58732.967112403	569.7	 0.8	 3.82	 0.03	 0.250	  80.110	 5.1	 0.3060	 0.0001	 3.276e+38	 1.000e+35
     566	 566	58732.967112405	566.0	 0.5	 4.06	 0.06	 0.150	  21.674	 0.2	 0.0880	 0.0001	 9.425e+37	 7.000e+34
     567	 567	58732.967296849	565.5	 0.6	 4.46	 0.05	 0.400	 108.820	 8.5	 0.4853	 0.0004	 5.195e+38	 4.000e+35
     568	 568	58732.967307118	568.5	 0.5	 3.32	 0.05	 0.100	  10.577	 0.1	 0.0351	 0.0000	 3.753e+37	 3.000e+34
     569	 569	58732.967534865	566.0	 0.5	 3.84	 0.06	 0.400	  26.733	 0.2	 0.1028	 0.0001	 1.100e+38	 0.000e+00
