#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T14:41:12 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T14:41:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/115/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220115
#Name: J/ApJ/922/115
#Title: Additional bursts at 1.4GHz for FRB 121102 (Aggarwal+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	creator=Aggarwal K.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..115A	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/115	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220115	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_115_table5:
#Name: J/ApJ/922/115/table5
#Title: Properties of all the bursts presented in this analysis
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a6)	Burst identifier; chronologically ordered (1)	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	[*d] Flag on ID (2)	[ucd=meta.code]
#Column	muf	(I4)	[0/3100] Mean of the spectra, {mu}_f_	[ucd=em.freq]
#Column	E_muf	(I4)	[1/1490] Upper 1{sigma} uncertainty in muf	[ucd=stat.error;stat.max]
#Column	e_muf	(I4)	[1/2000] Lower 1{sigma} uncertainty in muf	[ucd=stat.error]
#Column	sigmaf	(I4)	[31/3000] Width of the spectra, {sigma}_f_	[ucd=spect.line.width]
#Column	E_sigmaf	(I4)	[1/2790] Upper 1{sigma} uncertainty in sigmaf	[ucd=stat.error;stat.max]
#Column	e_sigmaf	(I4)	[1/2000] Lower 1{sigma} uncertainty in sigma_f	[ucd=stat.error]
#Column	S	(F7.4)	[0/20] Component fluence	[ucd=phot.fluence;em.radio.750-1500MHz]
#Column	E_S	(F7.4)	[0.0007/26.2] Upper 1{sigma} uncertainty in S	[ucd=stat.error;stat.max]
#Column	e_S	(F7.4)	[0.0007/10] Lower 1{sigma} uncertainty in S	[ucd=stat.error]
#Column	MJD	(F16.10)	[57644.4/57645.5] Modified Julian Date of mean pulse profile, {mu}_t_ (3)	[ucd=time.epoch]
#Column	e_MJD	(F7)	[4e-10/2e-07] The 1{sigma} uncertainty in MJD	[ucd=stat.error;time.epoch]
#Column	sigmat	(F5.2)	[0/8.3] Profile width, {sigma}_{tau}_	[ucd=time.interval]
#Column	E_sigmat	(F5.2)	[0.02/10] Upper 1{sigma} uncertainty in sigmat	[ucd=stat.error;stat.max]
#Column	e_sigmat	(F5.2)	[0.02/10] Lower 1{sigma} uncertainty in sigmat	[ucd=stat.error]
#Column	tau	(F5.2)	[0.12/3]? Scattering timescale at 1GHz	[ucd=time.scale]
#Column	E_tau	(F5.2)	[0.02/3.6]? Upper 1{sigma} uncertainty in tau	[ucd=stat.error;stat.max]
#Column	e_tau	(F5.2)	[0.01/1]? Lower 1{sigma} uncertainty in tau	[ucd=stat.error]
#Column	DM	(F6.2)	[551/600] Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	E_DM	(F6.2)	[0.03/100] Upper 1{sigma} uncertainty in DM	[ucd=stat.error;stat.max]
#Column	e_DM	(F6.2)	[0.03/200] Lower 1{sigma} uncertainty in DM	[ucd=stat.error]
recno	ID	f_ID	muf	E_muf	e_muf	sigmaf	E_sigmaf	e_sigmaf	S	E_S	e_S	MJD	e_MJD	sigmat	E_sigmat	e_sigmat	tau	E_tau	e_tau	DM	E_DM	e_DM
      20	B16   	d	3100	 200	 600	 510	  60	 110	 6.0000	 9.0000	 5.0000	57644.4205085800	  4e-09	 1.20	 0.20	 0.20	 0.50	 0.30	 0.20	570.00	  2.00	  2.00
      21	B17   	 	2000	1000	2000	3000	1000	1000	 0.1500	 0.0500	 0.0400	57644.4211054500	  1e-08	 1.50	 0.60	 0.50	 0.70	 1.00	 0.40	570.00	  1.00	  2.00
      22	B18   	*	1530	  30	  30	 140	  30	  30	 0.0460	 0.0080	 0.0080	57644.4263038620	  4e-09	 1.50	 0.10	 0.10	     	     	     	564.80	  0.80	  0.80
      23	B19   	*	1330	  30	  30	 160	  20	  20	 0.1100	 0.0200	 0.0200	57644.4272100300	  2e-08	 1.90	 0.80	 0.80	 1.60	 0.50	 0.50	564.00	  1.00	  1.00
      24	B20   	d	2900	 400	1000	1000	2000	 400	 0.2300	 0.4700	 0.0800	57644.4273768590	  4e-09	 0.70	 0.30	 0.30	 0.60	 0.50	 0.30	565.60	  0.80	  0.60
      25	B21   	d	3100	 200	 400	 600	 100	 100	 3.0000	 7.0000	 2.0000	57644.4279403600	  2e-08	 4.20	 0.90	 1.00	 1.80	 1.70	 0.80	576.00	  4.00	  5.00
      26	B22   	d	3000	 300	 700	 700	 100	 200	 1.3000	 1.7000	 0.9000	57644.4285937840	  8e-09	 1.90	 0.40	 0.40	 1.50	 0.60	 0.60	568.00	  2.00	  2.00
      27	B23   	 	1699	  14	   9	  70	  20	  10	 0.0890	 0.0090	 0.0080	57644.4301701700	  2e-09	 0.70	 0.10	 0.10	 0.30	 0.20	 0.10	569.00	  1.00	  1.00
      28	B24   	*	1670	  20	  20	  80	  20	  20	 0.0384	 0.0007	 0.0007	57644.4301703030	  1e-09	 0.02	 0.05	 0.05	 1.20	 0.30	 0.30	563.00	  0.50	  0.50
      29	B25   	 	1750	1380	  70	 200	 390	  60	 0.1600	 3.6700	 0.0300	57644.4301714190	  4e-09	 1.40	 0.20	 0.20	 0.70	 0.30	 0.30	568.00	  1.00	  1.00
      30	B26   	 	1470	  10	  10	 110	  20	  10	 0.0960	 0.0090	 0.0090	57644.4312953610	  4e-09	 0.80	 0.20	 0.20	 0.50	 0.20	 0.20	565.60	  0.70	  0.70
      31	B27   	 	1340	  70	1400	1000	2000	1000	 0.1700	 0.1100	 0.0900	57644.4322349000	  2e-08	 2.00	 1.00	 0.70	 1.10	 0.50	 0.40	570.00	  2.00	  2.00
      32	B28   	 	1750	  40	  20	 100	  20	  10	 0.1400	 0.0300	 0.0200	57644.4322427220	  1e-09	 0.59	 0.05	 0.05	 0.16	 0.09	 0.05	561.30	  0.50	  0.50
      33	B29   	 	1680	1440	  30	 130	 480	  40	 0.0600	 1.5000	 0.0100	57644.4340451970	  4e-09	 0.60	 0.20	 0.20	 0.40	 0.40	 0.20	562.00	  1.00	  3.00
      34	B30   	 	1440	  10	  10	 100	  20	  10	 0.1200	 0.0100	 0.0100	57644.4363657500	  2e-08	 2.10	 0.60	 0.50	 1.20	 0.50	 0.40	568.00	  2.00	  3.00
      35	B31   	 	1502	   6	   6	 100	   8	   7	 0.1900	 0.0100	 0.0100	57644.4387949660	  4e-09	 1.60	 0.10	 0.20	 0.50	 0.10	 0.10	566.60	  0.70	  0.70
      36	B32   	 	1410	   8	   8	  79	   9	   8	 0.1400	 0.0100	 0.0100	57644.4388451800	  1e-08	 1.70	 0.30	 0.40	 0.60	 0.40	 0.30	564.00	  1.00	  1.00
      37	B33   	 	1480	  20	  20	 120	  20	  20	 0.0800	 0.0100	 0.0100	57644.4392128550	  8e-09	 1.20	 0.30	 0.40	 0.60	 0.60	 0.30	563.00	  1.00	  1.00
      38	B34   	d	2600	 600	1400	2000	1000	1000	 0.2700	 0.1000	 0.0600	57644.4406886130	  5e-09	 1.30	 0.40	 0.40	 1.00	 0.40	 0.30	567.00	  0.80	  0.90
      39	B35   	 	1707	   5	   5	  61	   6	   5	 0.2400	 0.0100	 0.0100	57644.4429977290	  6e-09	 2.80	 0.20	 0.20	 0.70	 0.40	 0.20	575.00	  3.00	  3.00
      40	B36   	d	3100	 200	 400	 470	  70	  90	10.0000	20.0000	10.0000	57644.4435891800	  2e-08	 3.00	 2.00	 1.00	 2.00	 2.00	 1.00	574.00	 11.00	  6.00
      41	B37   	 	1410	  20	  20	 130	  30	  20	 0.0650	 0.0070	 0.0080	57644.4435900290	  3e-09	 0.58	 0.11	 0.09	 0.14	 0.10	 0.04	562.80	  0.50	  0.40
      42	B38   	 	1620	  20	  20	 110	  20	  20	 0.1000	 0.0100	 0.0100	57644.4452250580	  7e-09	 0.90	 0.50	 0.50	 1.90	 0.70	 0.90	567.00	  2.00	  2.00
      43	B39   	 	1500	  10	  20	 130	  10	  10	 0.0570	 0.0100	 0.0060	57644.4467881240	  1e-09	 0.21	 0.04	 0.04	 0.12	 0.13	 0.05	560.90	  0.10	  0.20
      44	B40   	 	1590	  10	  10	  81	  11	   9	 0.1200	 0.0200	 0.0200	57644.4475678220	  8e-09	 1.10	 0.50	 0.40	 2.00	 0.80	 0.70	560.00	  3.00	  3.00
      45	B41   	*	1379	   1	   1	  31	   1	   1	 0.4000	 0.0200	 0.0200	57644.4477275000	  2e-08	 0.80	 0.20	 0.20	 3.00	 0.20	 0.20	559.00	  2.00	  2.00
      46	B42   	 	1670	  10	  10	 110	  20	  20	 0.0990	 0.0090	 0.0080	57644.4499155680	  3e-09	 0.90	 0.20	 0.20	 0.40	 0.20	 0.20	566.00	  0.80	  0.70
      47	B43   	 	1683	  12	   9	 120	  20	  10	 0.2200	 0.0100	 0.0100	57644.4516054440	  1e-09	 0.79	 0.10	 0.09	 0.90	 0.10	 0.10	568.20	  0.50	  0.50
      48	B44   	d	3100	 200	 400	 520	  50	  70	11.0000	13.0000	 7.0000	57644.4523897120	  6e-09	 1.80	 0.30	 0.30	 1.10	 0.50	 0.50	569.00	  2.00	  4.00
      49	B45   	 	1710	1490	  60	 160	 470	  70	 0.0700	 1.8100	 0.0200	57644.4539374730	  4e-09	 0.90	 0.20	 0.40	 0.50	 0.40	 0.20	562.00	  1.00	  1.00
      50	B46   	 	1371	   2	   2	  61	   2	   2	 0.4100	 0.0100	 0.0100	57644.4544774040	  8e-09	 2.80	 0.20	 0.20	 0.60	 0.10	 0.10	569.60	  0.80	  0.80
      51	B47   	 	 900	 800	1100	2000	1000	2000	 0.1500	 0.0400	 0.0900	57644.4578832270	  3e-09	 0.50	 0.10	 0.10	 0.23	 0.14	 0.09	561.90	  0.30	  0.20
      52	B48.1 	d	2900	 300	1200	 600	2500	 100	 1.0000	15.0000	 1.0000	57644.4645074880	  7e-09	 0.40	 0.40	 0.30	 0.70	 0.60	 0.30	565.00	  4.00	  2.00
      53	B48.2 	d	   0	1300	 500	 500	 500	 400	 0.7000	26.2000	 0.6000	57644.4645075000	  2e-07	 0.90	 3.20	 0.60	 0.70	 3.60	 0.40	600.00	100.00	200.00
      54	B49.1 	 	1660	  10	  10	 140	  20	  10	 0.4900	 0.0300	 0.0300	57644.4647589300	  1e-08	 8.30	 0.50	 0.50	 2.00	 0.70	 0.60	568.00	  4.00	  4.00
      55	B49.2 	 	2400	 700	1400	2000	1000	1000	 0.1600	 0.0500	 0.0400	57644.4647599030	  1e-09	 0.20	 0.10	 0.10	 0.60	 0.20	 0.10	561.30	  0.30	  0.20
      56	B50   	 	1460	  10	  10	  90	  10	  10	 0.1300	 0.0200	 0.0100	57644.4647627500	  1e-08	 1.30	 1.00	 0.90	 1.70	 0.60	 0.80	561.00	  2.00	  2.00
      57	B51   	d	2500	 600	 900	1000	1000	 700	 0.3000	 0.2000	 0.2000	57644.4657299230	  7e-09	 1.40	 0.60	 0.40	 1.20	 0.50	 0.40	569.00	  1.00	  1.00
      58	B52   	 	1667	   5	   4	  73	   6	   5	 0.1850	 0.0090	 0.0090	57644.4662222890	  4e-09	 1.40	 0.10	 0.20	 0.60	 0.20	 0.20	570.00	  1.00	  1.00
      59	B53   	 	1720	  30	  20	 120	  30	  20	 0.1900	 0.0300	 0.0200	57644.4680953650	  4e-09	 1.50	 0.20	 0.20	 1.10	 0.30	 0.30	572.00	  1.00	  1.00
      60	B54   	*	1600	 600	 600	 100	 100	 100	 0.0000	 0.1000	 0.1000	57644.4711776700	  7e-08	 0.00	10.00	10.00	 0.90	 0.20	 0.20	560.00	 40.00	 40.00
      61	B55   	 	1650	  10	  10	 100	  10	  10	 0.1300	 0.0100	 0.0100	57644.4747179180	  6e-09	 1.40	 0.30	 0.20	 1.30	 0.50	 0.50	570.00	  2.00	  2.00
      62	B56   	 	1706	   4	   4	  54	   6	   5	 0.1600	 0.0100	 0.0100	57644.4770820410	  3e-09	 0.90	 0.20	 0.10	 0.90	 0.20	 0.20	560.00	  2.00	  2.00
      63	B57   	 	1530	   6	   6	 186	   6	   6	 0.2540	 0.0060	 0.0050	57645.4110889611	  4e-10	 0.48	 0.03	 0.02	 0.21	 0.02	 0.02	561.75	  0.06	  0.06
      64	B58   	 	1462	   6	   6	  78	   6	   5	 0.1290	 0.0080	 0.0080	57645.4116516530	  4e-09	 0.90	 0.10	 0.10	 0.40	 0.10	 0.10	564.40	  0.60	  0.70
      65	B59   	 	1537	   5	   4	  68	   4	   4	 0.2000	 0.0100	 0.0100	57645.4118890860	  9e-09	 2.20	 0.40	 0.30	 1.10	 0.30	 0.30	568.00	  2.00	  2.00
      66	B60.1 	 	3000	 300	1000	 440	  80	 220	 4.0000	 6.0000	 4.0000	57645.4122818720	  4e-09	 0.80	 0.20	 0.10	 0.30	 0.30	 0.20	566.00	  2.00	  2.00
      67	B60.2 	 	2300	 900	 600	 500	 300	 300	 0.4000	 1.6000	 0.2000	57645.4122819900	  6e-09	 0.90	 0.60	 0.50	 2.50	 0.60	 0.50	561.00	  2.00	  2.00
      68	B61   	d	1000	1000	1000	2800	 900	1100	 0.2500	 0.0800	 0.0700	57645.4128686900	  2e-08	 2.00	 2.00	 1.00	 2.00	 2.00	 1.00	580.00	  3.00	 13.00
      69	B62   	 	1570	  10	  10	 110	  10	  10	 0.1200	 0.0100	 0.0090	57645.4136447400	  5e-09	 1.30	 0.20	 0.20	 0.60	 0.30	 0.20	567.00	  1.00	  1.00
      70	B63   	 	1280	  10	  10	  86	  11	   9	 0.1000	 0.0100	 0.0100	57645.4160953400	  1e-08	 0.80	 0.20	 0.20	 0.60	 0.20	 0.10	562.00	  0.80	  0.90
      71	B64   	d	2000	1000	1000	3000	1000	1000	 0.3200	 0.0900	 0.0900	57645.4163952100	  1e-08	 1.40	 0.50	 0.50	 3.00	 1.00	 1.00	564.00	  3.00	  2.00
      72	B65   	 	1550	  10	  10	 110	  20	  10	 0.0910	 0.0090	 0.0090	57645.4165648180	  6e-09	 1.20	 0.20	 0.20	 0.60	 0.30	 0.20	566.00	  1.00	  1.00
      73	B66   	 	1440	  10	  10	 120	  10	  10	 0.1050	 0.0090	 0.0080	57645.4174673060	  6e-09	 1.60	 0.20	 0.20	     	     	     	567.70	  0.70	  0.70
      74	B67   	 	1640	  30	  20	 180	  30	  30	 0.0990	 0.0090	 0.0080	57645.4178974630	  2e-09	 0.80	 0.10	 0.10	 0.30	 0.10	 0.10	564.80	  0.50	  0.50
      75	B68   	d	2000	1000	1000	2000	1000	1000	 0.2000	 0.0500	 0.0600	57645.4190059020	  8e-09	 1.00	 0.60	 0.50	 0.90	 0.40	 0.40	567.90	  0.90	  1.30
      76	B69   	 	1450	  20	  10	  80	  10	  10	 0.0590	 0.0090	 0.0090	57645.4192074500	  1e-08	 0.70	 0.30	 0.30	 0.50	 0.30	 0.20	564.00	  1.00	  1.00
      77	B70   	d	3100	 200	 500	 600	 100	 100	 0.9000	 1.7000	 0.6000	57645.4198962260	  4e-09	 0.80	 0.30	 0.30	 0.80	 0.40	 0.30	564.00	  1.00	  1.00
      78	B71   	 	1378	   5	   4	  78	   5	   4	 0.3400	 0.0200	 0.0200	57645.4202659310	  9e-09	 1.00	 0.20	 0.20	 2.60	 0.20	 0.20	561.10	  0.90	  1.00
      79	B72   	d	3100	 200	 500	 700	 200	 100	 1.2000	 3.4000	 0.8000	57645.4206004390	  9e-09	 1.20	 0.70	 0.80	 2.00	 1.00	 1.00	559.00	  2.00	  2.00
      80	B73   	d	3100	 200	 500	 600	 100	 100	 2.0000	 3.0000	 1.0000	57645.4206795240	  7e-09	 1.50	 0.60	 0.80	 1.70	 0.80	 0.70	575.00	  3.00	  3.00
      81	B74   	d	3100	 200	 400	 520	 100	  90	 5.0000	12.0000	 4.0000	57645.4207523630	  6e-09	 1.20	 0.80	 0.60	 1.90	 0.70	 0.90	551.00	 11.00	  2.00
      82	B75   	d	2200	 800	1400	2700	 900	1200	 0.3900	 0.0700	 0.0800	57645.4212840560	  4e-09	 0.90	 0.30	 0.30	 1.80	 0.30	 0.30	567.60	  0.90	  0.70
      83	B76   	 	1410	  10	 350	  90	  20	  10	 0.0500	 0.1110	 0.0060	57645.4212906990	  5e-09	 0.42	 0.25	 0.09	 0.14	 0.42	 0.05	561.60	  0.60	  0.50
      84	B77   	 	1312	   5	   5	  51	   6	   6	 0.1200	 0.0100	 0.0100	57645.4216130000	  2e-08	 1.30	 0.50	 0.50	 0.70	 0.20	 0.20	566.00	  2.00	  2.00
      85	B78   	 	1170	  20	  40	  80	  40	  10	 0.1100	 0.0300	 0.0200	57645.4218484600	  1e-08	 0.90	 0.30	 0.20	 0.28	 0.14	 0.08	562.40	  0.70	  0.90
      86	B79   	 	1702	   4	   4	  57	   6	   5	 0.1800	 0.0100	 0.0100	57645.4218724430	  3e-09	 1.20	 0.20	 0.20	 1.70	 0.30	 0.30	568.00	  2.00	  2.00
      87	B80   	 	1601	   7	   8	  81	   8	   7	 0.1300	 0.0100	 0.0100	57645.4224549760	  3e-09	 0.50	 0.30	 0.20	 1.30	 0.20	 0.30	564.40	  1.00	  0.80
      88	B81   	 	1720	 390	  10	  60	 310	  20	 0.0500	 0.1000	 0.0100	57645.4230094900	  6e-09	 0.78	 0.08	 0.18	 0.60	 0.10	 0.20	563.00	  8.00	  5.00
      89	B82   	d	3100	 200	 400	 580	  60	  70	 4.0000	 4.0000	 2.0000	57645.4241458700	  2e-09	 1.30	 0.10	 0.10	     	     	     	569.20	  0.70	  0.70
      90	B83   	d	2400	 700	1300	2000	2000	1000	 0.1500	 0.0700	 0.0400	57645.4246179880	  6e-09	 0.70	 0.30	 0.30	 0.40	 0.20	 0.20	564.70	  0.70	  0.50
      91	B84   	d	3000	 300	 700	 600	 100	 200	 1.0000	 3.0000	 1.0000	57645.4254782630	  8e-09	 1.00	 0.80	 0.60	 1.70	 0.90	 0.90	563.00	  2.00	  3.00
      92	B85   	*	1310	  20	  20	 130	  20	  20	 0.1100	 0.0200	 0.0200	57645.4267465460	  2e-09	 0.01	 0.06	 0.06	 2.00	 0.40	 0.40	566.10	  0.20	  0.20
